"Nr cytatu";Treść;Tłumaczenie;Autor;"Data dodania";Polubienia;"Kategoria 1";"Kategoria 2";"Kategoria 3"
177;"Jeśli masz świadomość, czego jeszcze nie wiesz, to zyskujesz bardzo dużo pokory.";;"Zbigniew Wodecki";"2020-09-08 09:32:29";0;"FILOZOFIA ŻYCIA";;
178;"Niewyrażone emocje nigdy nie umierają. Zostają zakopane żywcem, aby powrócić później w znacznie gorszej postaci.";;"Zygmunt Freud";"2020-09-08 09:32:47";0;PSYCHOLOGIA;;
179;"Czasami cygaro jest tylko cygarem i niczym więcej.";;"Zygmunt Freud";"2020-09-08 09:33:02";0;PSYCHOLOGIA;;
180;"Boimy się zmian dlatego, że ciężko nam rozstać się z tym, z czym umiemy już sobie radzić.";;;"2020-09-08 09:33:18";0;"PSYCHOLOGIA ŻYCIA";;
181;"Boję się ludzi bez poczucia humoru, bo jeszcze żywi a już sztywni.";;;"2020-09-08 09:33:31";0;"PSYCHOLOGIA ŻYCIA";;
182;"Największą sztuką jest przejść przez piekło i nie stać się diabłem.";;;"2020-09-08 09:33:41";0;"FILOZOFIA ŻYCIA";;
183;"Prawdziwy związek jest wtedy, gdy dwoje normalnych i spokojnych ludzi tworzy wspólnie swój zwariowany świat.";;;"2020-09-08 09:33:50";0;"FILOZOFIA ŻYCIA";;
184;"Nie żałuj tego co sprawiło, że byłeś szczęśliwy.";;;"2020-09-08 09:33:58";0;FILOZOFIA;;
185;"Czasem dobrze jest potrząsnąć drzewem przyjaźni, by zrzucić zgniłe owoce.";;"Przysłowie afrykańskie";"2020-09-08 09:34:21";0;"FILOZOFIA ŻYCIA";;
186;"Samotność - nikogo o nią nie wiń. Ona przyszła od środka.";;"Andrzej Piasecki";"2020-09-08 09:51:14";0;FILOZOFIA;;
187;"W chwili, kiedy zastanawiasz się czy kogoś kochasz, przestałeś go już kochać na zawsze.";;"Carlos Ruiz Zafón";"2020-09-08 10:06:22";0;MIŁOŚĆ;;
188;"Miłość jest taka krótka, zapominanie jest tak długie.";;"Pablo Neruda";"2020-09-08 10:06:35";0;MIŁOŚĆ;;
189;"Kochać kogoś, to przede wszystkim pozwalać mu na to, żeby był, jaki jest.";;"William Wharton";"2020-09-08 10:06:45";0;MIŁOŚĆ;;
190;"To smutne, że głupcy są tacy pewni siebie, a ludzie rozsądni tacy pełni wątpliwości.";;"Bertrand Russel";"2020-09-08 10:07:05";0;FILOZOFIA;;
191;"Żaden wiatr nie jest pomyślny temu, kto nie wie, do którego portu płynie.";;Machiavelli;"2020-09-08 10:07:21";0;FILOZOFIA;;
192;"Jesteśmy tym, co w swoim życiu powtarzamy. Doskonałość nie jest jednorazowym aktem, lecz nawykiem.";;arystoteles;"2020-09-08 10:07:33";0;FILOZOFIA;;
193;"Mogę być bardzo wściekły na to, czego nie mam, albo bardzo wdzięczny za to, co mam.";;"nick vujicic";"2020-09-08 10:07:50";0;PSYCHOLOGIA;;
194;"Poznaj samego siebie.";;Sokrates;"2020-09-08 10:08:01";0;PSYCHOLOGIA;;
195;"Jedyną rzeczą bardziej przygnębiającą od niemożności odnalezienia kogoś, jest bycie nieodnalezionym.";;"Cecylia Ahern";"2020-09-08 10:08:25";0;PSYCHOLOGIA;;
196;"Większość mężczyzn zabrałaby na bezludną wyspę kobietę i na wszelki wypadek siekierę.";;"Andrzej Majewski";"2020-09-08 10:08:40";0;PSYCHOLOGIA;;
197;"Najlepiej rozmawia się samemu ze sobą. Przynajmniej nie dochodzi do nieporozumień.";;"Olga Tokarczuk";"2020-09-08 10:08:53";0;PSYCHOLOGIA;;
198;"Dopóki nie uczynisz nieświadomego świadomym, dopóty będzie ono kierowało Twoim życiem i będziesz je nazywał losem.";;"Carl Gustav Jung";"2020-09-08 11:55:30";0;FILOZOFIA;;
199;"Rozumienie jest trudne, dlatego większość ludzi ocenia.";;"Carl Gustav Jung";"2020-09-08 11:56:18";0;PSYCHOLOGIA;;
200;"Dzień bez uśmiechu jest dniem straconym.";;"Charlie Chaplin";"2020-09-08 11:56:50";0;FILOZOFIA;;
203;"Nie bój się wielkiego kroku. Nie pokonasz przepaści dwoma małymi.";;"David Lloyd George";"2020-09-08 12:05:08";0;PSYCHOLOGIA;;
204;"Nawet, jeśli szczęście zapomni o tobie na chwilę, ty nigdy o nim nie zapominaj.";;"Jacques Prévert";"2020-09-08 12:05:57";0;FILOZOFIA;;
205;"Jakże często bywa zaprzepaszczone przez zbyt długie przygotowania – głupie przygotowania!";;"Jane Austen";"2020-09-08 12:08:40";0;FILOZOFIA;;
206;"Czyż można słusznej nie wysłuchać rady? Ważniejsze jest jednak to, by jej wysłuchawszy, zmienić, co złe.";;Konfucjusz;"2020-09-08 12:14:14";0;"FILOZOFIA ŻYCIA";;
207;"Jeśli jakaś dłoń ma swoje miejsce w drugiej dłoni, to właśnie jest przyjaźń. ";;"Adam Asnyk";"2020-09-08 12:19:00";0;FILOZOFIA;;
208;"Ab alio expectes, alteri quod feceris";"Co zrobisz drugiemu, oczekuj od niego";"Seneka Młodszy";"2020-09-10 08:48:00";0;"FILOZOFIA ŻYCIA";;
209;"Ab equis ad asinos";"Z deszczu pod rynnę (dosłownie “z koni na osły”)";;"2020-09-10 09:03:01";0;"FILOZOFIA ŻYCIA";;
210;"- Na pustyni jest się trochę samotnym.
- Równie samotnym jest się wśród ludzi.";;"Antoine de Saint-Exupéry";"2020-09-11 10:23:27";0;SAMOTNOŚĆ;;
211;"Zwykli ludzie nie wiedzą ile dla kogoś zamkniętego znaczą książki.";;"Anne Frank";"2020-09-11 10:23:38";0;SAMOTNOŚĆ;;
212;"Każdy samotnik, choćby się zaklinał, że tak nie jest, pozostanie samotny nie dlatego, że lubi,ale dlatego, że próbował stać się częścią świata, ale nie mógł, bo doznawał ciągłych rozczarowań ze strony ludzi.";;"Jodi Picoult";"2020-09-11 10:23:50";0;SAMOTNOŚĆ;;
213;"...bo człowiek może wytrzymać tydzień bez picia, dwa tygodnie bez jedzenia, całe lata bez dachu nad głową, ale nie może znieść samotności.";;"Paulo Coelho";"2020-09-11 10:24:03";0;SAMOTNOŚĆ;;
214;"Nikt nie lubi samotności. Ja tylko nie próbuję się z nikim na siłę zaprzyjaźniać. To prowadzi do rozczarowań.";;"Haruki Murakami";"2020-09-11 10:24:15";0;SAMOTNOŚĆ;;
215;"Uważam, że zdrowo jest być samemu przez większość czasu. Przebywanie w towarzystwie, nawet najlepszym, szybko staje się nużące i wyczerpujące. Uwielbiam być sam. Nigdy nie spotkałem przyjaciela, który byłby równie przyjazny jak samotność. Jesteśmy zwykle bardziej samotni, kiedy wychodzimy między ludzi, niż kiedy zostajemy w domu.";;"Henry David Thoreau";"2020-09-11 10:24:37";0;SAMOTNOŚĆ;;
216;"Samotnym jest się tylko wtedy, gdy ma się na to czas.";;"Janusz Leon Wiśniewski";"2020-09-11 10:24:52";0;SAMOTNOŚĆ;;
217;"Samotność to obejmowanie kogoś, kogo kochasz. Gdy wiesz, że nigdy więcej nie obejmiesz go znowu";;"Kamil Garcia";"2020-09-11 10:25:03";0;SAMOTNOŚĆ;;
218;"Wszystko trzeba odkryć samemu. I również przejść przez to zupełnie samemu.";;"Tove Jansson";"2020-09-11 10:25:14";0;SAMOTNOŚĆ;;
219;"Żyjemy tak jak śnimy – samotnie.";;"Joseph Conrad";"2020-09-11 10:25:25";0;SAMOTNOŚĆ;;
220;"Najgorsze, co może spotkać człowieka, to żyć i umrzeć w samotności, nie kochając i nie będąc kochanym.";;"Paulo Coelho";"2020-09-11 10:25:36";0;SAMOTNOŚĆ;;
221;"Jest taka chwila, w której, zdani sami na siebie, ludzie przestają żyć, a starają się zaledwie przeżyć.";;"Stephen King";"2020-09-11 10:25:52";0;SAMOTNOŚĆ;;
222;"Poza tym jest na świecie taki rodzaj smutku, którego nie można wyrazić łzami. Nie można go nikomu wytłumaczyć. Nie mogąc przybrać żadnego kształtu, osiada cicho na dnie serca jak śnieg podczas bezwietrznej nocy.";;"Haruki Murakami";"2020-09-11 10:26:02";0;SAMOTNOŚĆ;;
223;"Samotność to dziwna rzecz.
Zakrada się cicho i niepostrzeżenie. ";;"Taheref Mafi";"2020-09-11 10:26:15";0;SAMOTNOŚĆ;;
224;"Każdy powinien mieć kogoś, z kim mógłby szczerze pomówić, bo choćby człowiek był nie wiadomo jak dzielny, czasami czuje się bardzo samotny.";;"Ernest Hemingway";"2020-09-11 10:26:30";0;SAMOTNOŚĆ;;
225;"Mam niewielu przyjaciół. Myślę, że jestem typem samotnika. Tyle tylko, że to była nudna samotność. Można też na to spojrzeć z innej strony, nie wiążąc się z nikim, oszczędzasz sobie w życiu cierpienia.";;"Trudi Canavan";"2020-09-11 10:26:40";0;SAMOTNOŚĆ;;
226;"Nie zna smaku prawdziwego życia, kto przez tunel samotności się nie przeczołgał.";;"Edward Stachura";"2020-09-11 10:26:49";0;SAMOTNOŚĆ;;
227;"Miłość jest pierwszą wśród nieśmiertelnych rzeczy.";;"Dante Alighieri";"2020-09-11 10:27:27";0;MIŁOŚĆ;;
228;"Aby miłość trwała przez całe życie, trzeba ją pielęgnować starannie jak ogród.";;"Henry Bordeaux";"2020-09-11 10:27:35";0;MIŁOŚĆ;;
229;"Któż to ci powiedział, że nie ma już na świecie prawdziwej, wiernej, wiecznej miłości? A niechże wyrwą temu kłamcy jego plugawy język!
Ten, który kocha, powinien dzielić los tego, kogo kocha. ";;"Michaił Bułhakow";"2020-09-11 10:27:52";0;MIŁOŚĆ;;
230;"Miłość jest jak kot. Chodzi własnymi drogami.";;"Joanna Chmielewska";"2020-09-11 10:28:30";0;MIŁOŚĆ;;
231;"Równie wspaniale jest kochać, jak być kochanym. Miłości nie da się zmarnować.
To znaczy, że miłość jest najpotężniejszą siłą na świecie. Miłość potrafi wszystko.
";;"Cassandra Clare";"2020-09-11 10:28:42";0;MIŁOŚĆ;;
232;"Kocha się za nic. Nie istnieje żaden powód do miłości.";;"Paulo Coelho";"2020-09-11 10:28:51";0;MIŁOŚĆ;;
233;"Dla całego świata możesz być nikim, dla kogoś możesz być całym światem.
Miłość nie polega na tym, aby wzajemnie sobie się przyglądać, lecz aby patrzeć razem w tym samym kierunku.
Prawdziwa miłość zaczyna się tam, gdzie niczego już w zamian nie oczekuje.
";;"Antoine de Saint-Exupéry";"2020-09-11 10:29:08";0;MIŁOŚĆ;;
234;"Ci, których kochamy nie umierają, bo miłość jest nieśmiertelna.";;"Emily Dickinson";"2020-09-11 10:29:29";0;MIŁOŚĆ;;
235;"Bo w życiu to wszystko lepiej smakuje, jak jest przyprawione miłością. Trzeba jej dodawać wszędzie. Gdzie się tylko da.";;"Anna Ficner-Ogonowska";"2020-09-11 10:29:44";0;MIŁOŚĆ;;
236;"Niedojrzała miłość mówi: kocham cię, ponieważ cię potrzebuję. Dojrzała mówi: potrzebuję cię, ponieważ cię kocham.";;"Erich Fromm";"2020-09-11 10:29:53";0;MIŁOŚĆ;;
237;"Nie wystarczy pokochać, trzeba jeszcze umieć wziąć tę miłość w ręce i przenieść ją przez całe życie.";;"Konstanty Ildefons Gałczyński";"2020-09-11 10:30:08";0;MIŁOŚĆ;;
238;"Miłość jest czekaniem na szelesty, listy, na pukanie do drzwi.";;"Małgorzata Hillar";"2020-09-11 10:30:25";0;MIŁOŚĆ;;
239;"Miłość to uczucie, którego żądać nie można; jest darem, nie osiągnięciem.";;"Irena Jurgielewiczowa";"2020-09-11 10:30:40";0;MIŁOŚĆ;;
240;"Miłość zmienia oblicze świata, a świat zorganizowany przez miłość zmienia nas samych.";;"Anna Kamieńska";"2020-09-11 10:30:49";0;MIŁOŚĆ;;
241;"Mówią, że miłość jest ślepa, ale to powiedzenie głupców. Czasami widzi zbyt dużo.";;"Stephen King";"2020-09-11 10:30:59";0;MIŁOŚĆ;;
242;"Miłość jest tęsknotą po utraconej połowie nas samych.";;"Milan Kundera";"2020-09-11 10:31:11";0;MIŁOŚĆ;;
243;"– A jeśli pewnego dnia będę musiał odejść? – spytał Krzyś, ściskając Misiową łapkę. – Co wtedy?- Nic wielkiego. – zapewnił go Puchatek. – Posiedzę tu sobie i na Ciebie poczekam. Kiedy się kogoś kocha, to ten drugi ktoś nigdy nie znika.";;"Alan Alexander Milne";"2020-09-11 10:32:32";0;MIŁOŚĆ;;
244;"-Znam tylko jedną rzecz, która może być jednocześnie bardzo prosta i bardzo skomplikowana.
-A co to takiego?
-Miłość.
";;"Guillaume Musso";"2020-09-11 10:32:51";0;MIŁOŚĆ;;
245;"Dzisiaj kocham Cię jeszcze bardziej niż wczoraj, a nie możesz sobie nawet wyobrazić, jak bardzo kochałem Cię wczoraj.";;"James Patterson ";"2020-09-11 10:33:02";0;MIŁOŚĆ;;
246;"I choć nikt mnie tego nie uczył, wiem, że na tym polega miłość. Jeśli jest prawdziwa, sprawia, że człowiek staje się kimś więcej, niż był, kimś więcej, niż wierzył, że może być.";;"Veronica Roth";"2020-09-11 10:33:11";0;MIŁOŚĆ;;
247;"O miłości wiemy niewiele. Z miłością jest jak z gruszką. Gruszka jest słodka i ma kształt. Spróbujcie zdefiniować kształt gruszki.";;"Andrzej Sapkowski";"2020-09-11 10:33:45";1;MIŁOŚĆ;;
248;"Człowiek wie, że to miłość, kiedy chce przebywać z druga osobą i czuje, że ta druga osoba chce tego samego.
Prawdziwa miłość oznacza,że zależy ci na szczęściu drugiego człowieka bardziej niż na własnym, bez względu na to, przed jak bolesnymi wyborami stajesz.
Kochać kogoś i być kochanym to najcenniejsza rzecz na świecie
";;"Nicholas Sparks";"2020-09-11 10:33:57";0;MIŁOŚĆ;;
249;"Mam Ciebie, byś troszczył się o mnie, a Ty masz mnie, bym troszczył się o Ciebie.";;"John Steinbeck";"2020-09-11 10:34:07";0;MIŁOŚĆ;;
250;"Moja miłość równie jest głęboka jak morze, równie jak ono bez końca.Im więcej Ci jej udzielam, tym więcej czuję jej w sercu.";;"William Szekspir";"2020-09-11 10:35:18";0;MIŁOŚĆ;;
251;"Miłość to pomieszanie podziwu, szacunku i namiętności. Jeśli żywe jest choć jedno z tych uczuć, to nie ma o co robić szumu. Jeśli dwa, to nie jest to mistrzostwo świata, ale blisko. Jeśli wszystkie trzy, to śmierć jest już niepotrzebna – trafiłaś do nieba za życia.
Kochać kogoś, to przede wszystkim pozwalać mu na to, żeby był, jaki jest.
";;"William Wharton";"2020-09-11 10:35:34";0;MIŁOŚĆ;;
252;"Może nie najważniejsze jest chcieć iść z kimś do łóżka, ale chcieć wstać następnego dnia rano i zrobić sobie nawzajem herbatę.";;"Janusz Leon Wiśniewski";"2020-09-11 10:36:02";0;MIŁOŚĆ;;
253;"Miłość musi być próbowana jak złoto w ogniu prób; tylko mała miłość w ogniu prób kruszeje. Wielka oczyszcza się i rozpala.";;"Stefan Wyszyński";"2020-09-11 10:36:13";0;MIŁOŚĆ;;
254;"…ten, kto kocha naprawdę, kocha w milczeniu, uczynkiem, a nie słowami.";;"Carlos Ruiz Zafón";"2020-09-11 10:36:37";0;MIŁOŚĆ;;
255;"– A jeśli pewnego dnia będę musiał odejść? – spytał Krzyś, ściskając Misiową łapkę. – Co wtedy?
– Nic wielkiego – zapewnił go Puchatek. – Posiedzę tu sobie i na ciebie poczekam. Kiedy się kogoś kocha, to ten drugi ktoś nigdy nie znika.
– Puchatku?
– Tak Prosiaczku?
– Nic, tylko chciałem się upewnić, że jesteś.
Przyjacielu, jeśli będzie ci dane żyć sto lat, to ja chciałby żyć sto lat minus jeden dzień, abym nie musiał żyć ani jednego dnia bez ciebie.
";;"Alan Alexander Milne";"2020-09-11 10:38:03";0;PRZYJAŹŃ;;
256;"Każdy z nas potrzebuje czasami ręki, która wyciągnęłaby go z kłopotów.";;"Alba de Céspedes";"2020-09-11 10:38:15";0;PRZYJAŹŃ;;
257;"Nie idź za mną, bo nie umiem prowadzić. Nie idź przede mną, bo mogę za Tobą nie nadążyć. Idź po prostu obok mnie i bądź moim przyjacielem. ";;"Albert Camus";"2020-09-11 10:38:28";0;PRZYJAŹŃ;;
258;"Jeśli ma się przyjaciół, a mimo to wszystko się traci, jest oczywiste, że przyjaciele ponoszą winę. Za to, co uczynili, względnie za to, czego nie uczynili. Za to, że nie wiedzieli, co należy uczynić.";;"Andrzej Sapkowski";"2020-09-11 10:38:42";1;PRZYJAŹŃ;;
259;"A ponieważ nie ma magazynów z przyjaciółmi, więc ludzie nie posiadają przyjaciół.
Nawet w obliczu śmierci przyjemna jest świadomość posiadania przyjaciela.
Prawdziwym przyjacielem jest ten, z którym człowiek zwiąże się liną.
";;"Antoine de Saint-Exupéry";"2020-09-11 10:38:54";0;PRZYJAŹŃ;;
260;"Jedyny szacunek, który jest coś wart, to szacunek ze strony nieprzyjaciela. Szacunek przyjaciół wart jest tylko wtedy, gdy wznosi się ponad ich wdzięczność, podziękowania i wszystkie bardziej prymitywne odruchy…";;"Antoine de Saint-Exupéry";"2020-09-11 10:39:05";0;PRZYJAŹŃ;;
261;"Problem w tym, że jeśli ze strachu przed wrogiem otoczysz się murem obronnym, ten mur nie przepuści również przyjaciół.";;"Camilla Läckberg";"2020-09-11 10:39:14";0;PRZYJAŹŃ;;
262;"Nie ufam tym, którzy są przekonani, że mają wielu przyjaciół. To znak, iż ni znają ludzi.";;"Carlos Ruiz Zafón";"2020-09-11 10:39:28";0;PRZYJAŹŃ;;
263;"Zawsze wierzyłem w głupców. Moi przyjaciele nazywają to wiarą w samego siebie.";;"Edgar Allan Poe";"2020-09-11 10:39:50";0;PRZYJAŹŃ;;
264;"Prawdziwy przyjaciel to nie ten, który odwala za ciebie całą robotę, lecz ten który uświadomi ci, że wszystko masz zrobić sam.";;"Edward Stachura";"2020-09-11 10:40:03";0;PRZYJAŹŃ;;
265;"Przyjaciel to człowiek, który wie wszystko o tobie i wciąż cię lubi.";;"Elbert Hubbard";"2020-09-11 10:40:51";0;PRZYJAŹŃ;;
266;"Powiedz mi, kim są twoi przyjaciele, a powiem ci, kim jesteś.";;"Ernest Hemingway";"2020-09-11 10:41:01";0;PRZYJAŹŃ;;
267;"Przyjaźń to nie tylko wspaniały prezent, lecz także ustawiczna praca.";;"Ernst Zacharias";"2020-09-11 10:41:12";0;PRZYJAŹŃ;;
268;"Dopiero wtedy zrozumiałem, że umrzeć to znaczy już nigdy więcej nie spotkać przyjaciół.";;"Gabriel García Márquez";"2020-09-11 10:44:24";0;PRZYJAŹŃ;;
269;"Przyjaciele, z którymi zabijamy czas, to właśnie prawdziwi przyjaciele.";;"Haruki Murakami";"2020-09-11 10:44:33";0;PRZYJAŹŃ;;
270;"To zależy, czego od przyjaciół oczekujesz. Możesz nam zaufać, że cię nie opuścimy w dobrej czy złej doli, choćby do najgorszego końca. Możesz też nam ufać, że strzec będziemy twojej tajemnicy lepiej niż ty sam jej strzegłeś. Ale nie licz na nas, byśmy ci pozwolili samotnie stawić czoło niebezpieczeństwu i odejść od nas bez słowa. Jesteśmy twoimi przyjaciółmi. Boimy się okropnie, ale pójdziemy z tobą albo za tobą, jak psy za tropem.";;"J.R.R. Tolkien";"2020-09-11 10:44:43";0;PRZYJAŹŃ;;
271;"Przyjaciel staje się fragmentem naszej biografii, jak data urodzenia, pierwsza szkoła czy imiona rodziców.";;"Janusz Leon Wiśniewski";"2020-09-11 10:45:02";0;PRZYJAŹŃ;;
272;"Przyjaźń polega na tym, także na tym, że nie dostarcza się przyjaciołom zbytecznych zgryzot.";;"Jerzy Pilch";"2020-09-11 10:45:11";0;PRZYJAŹŃ;;
273;"Dobrych przyjaciół trudno znaleźć, a jeszcze trudniej zapomnieć.";;"John Green";"2020-09-11 10:45:20";0;PRZYJAŹŃ;;
274;"Nikt chyba nie miałby przyjaciół, gdyby słyszał, co mówią oni za jego plecami.";;"Małgorzata Musierowicz";"2020-09-11 10:45:34";0;PRZYJAŹŃ;;
275;"Jeśli przyjaciele są wysoko na twojej liście priorytetów, to nawet gdy stracisz zdrowie, i tak zachowasz to, co liczy się najbardziej.";;"Regina Brett";"2020-09-11 10:45:44";0;PRZYJAŹŃ;;
276;"Nie interesują mnie pozorne relacje, pozór kontaktów i samozachwyt, że jesteśmy en vogue, trendy, w głównym nurcie. Nie jesteśmy. Jesteśmy w dupie. Jeśli pani nie usiądzie i nie będzie mogła porozmawiać ze swoimi bliskimi normalnie, to jest pani w dupie, za przeproszeniem. I siedem tysięcy znajomych na Facebooku nic tu nie pomoże.";;"Robert Więckiewicz";"2020-09-11 10:45:55";0;PRZYJAŹŃ;;
277;"Przyjaciel to człowiek, do którego dzwonię po wielu miesiącach milczenia, a nie pyta: dlaczego się nie odzywałaś, tylko mówi: cieszę się, że właśnie dziś słyszę Twój głos.";;"Roma Ligocka";"2020-09-11 10:46:03";0;PRZYJAŹŃ;;
278;"Tylko przyjaciel nie jest egoistą; w przeciwnym razie żaden z niego przyjaciel. Jedynie przyjaciel nie jest samolubny, bowiem nie dla siebie, ale dla przyjaciela pragnie wszystkiego, co dobre i piękne.";;"Sándor Márai";"2020-09-11 10:46:13";0;PRZYJAŹŃ;;
279;"Tylko wrogowie mówią sobie prawdę. Przyjaciele i kochankowie bez przerwy kłamią, złapani w sieć zobowiązań.";;"Stephen King";"2020-09-11 10:46:23";0;PRZYJAŹŃ;;
280;"Gdyby wszyscy moi przyjaciele skoczyli z mostu, ja bym z nimi nie skoczył. Stałbym na dole i czekał, żeby ich złapać.";;"Steve Berry";"2020-09-11 10:47:01";0;PRZYJAŹŃ;;
281;"Przyjaźń to strach przed samotnością, a miłość to jeszcze większy strach przed osamotnieniem.";;"Tadeusz Konwicki";"2020-09-11 10:47:11";0;PRZYJAŹŃ;;
282;"Nie ten przyjaciel, kto współczuje, a ten kto pomaga.";;"Thomas Fuller";"2020-09-11 10:47:57";0;PRZYJAŹŃ;;
283;"Jedyne, co miało jakieś znaczenie, to to, że znalazłem mojego pierwszego przyjaciela, a tym samym zacząłem naprawdę żyć.";;"Tove Jansson";"2020-09-11 10:48:06";0;PRZYJAŹŃ;;
284;"Najczęściej nasi najlepsi przyjaciele są sprawcami naszego upadku.";;"Victor Hugo";"2020-09-11 10:48:18";0;PRZYJAŹŃ;;
285;"Tylko istota absolutnie silna nie potrzebuje przyjaźni; z pewnością kimś takim może być tylko Bóg.";;"Wasilij Grossman";"2020-09-11 10:48:27";0;PRZYJAŹŃ;;
286;"Roztropnie jest posiadać przyjaciół gdzie tylko się da, czy to na tym, czy na drugim świecie.";;"Wilbur Smith";"2020-09-11 10:48:39";0;PRZYJAŹŃ;;
287;"Bardziej niebezpieczni są przyjaciele w swej zdradzie, niż wrogowie w swej konsekwencji.";;"Władysław Grzeszczyk";"2020-09-11 10:49:00";0;PRZYJAŹŃ;;
288;"Prawdziwych przyjaciół poznaje się w biedzie. ";;"Adam Mickiewicz";"2020-09-23 10:05:09";0;FILOZOFIA;;
289;"Ktoś wygasił mi oczy, jak reflektory w teatrze. Usta się śmieją, a oczy cierpią. ";;"Agnieszka Osiecka";"2020-09-23 10:05:56";0;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
289;"Ktoś wygasił mi oczy, jak reflektory w teatrze. Usta się śmieją, a oczy cierpią. ";;"Agnieszka Osiecka";"2020-09-23 10:05:56";0;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
289;"Ktoś wygasił mi oczy, jak reflektory w teatrze. Usta się śmieją, a oczy cierpią. ";;"Agnieszka Osiecka";"2020-09-23 10:05:56";0;MIŁOŚĆ;TĘSKNOTA;CIERPIENIE
290;"Przyszłość będzie szczodra jedynie wtedy, gdy wszystko ofiarujesz teraźniejszości. ";;"Albert Camus";"2020-09-23 10:06:36";0;FILOZOFIA;;
291;"Masz Facebooka, Snapchata, WhatsAppa, Youtuba, TikToka... Zatem dlaczego czujesz, że coś tu nie gra?";;"Revolwer AP";"2020-09-24 08:10:19";0;"TE CHOLERNE ŻYCIE";;
292;"Masz Facebooka, Snapchata, WhatsAppa, Youtuba, TikToka... Zatem dlaczego wieczory spędzasz patrząc w nicość? Czyżby fasada?";;"Revolwer AP";"2020-09-24 08:11:29";0;"TE CHOLERNE ŻYCIE";;
293;"Masz dom, brykę wypasioną, lalkę odmalowaną, ziomali bez liku i hajsu na bzdury... Masz wszystko co do szczęścia potrzebne. Ja mam marzenia i jestem szczęśliwa.";;"Revolwer AP";"2020-09-24 08:12:34";0;"TE CHOLERNE ŻYCIE";;
294;"W tym siedlisku cierpienia mieszka nadzieja... A na imie ma Viktoria.";;"Revolwer AP";"2020-09-24 08:13:07";0;"TE CHOLERNE ŻYCIE";;
295;"Tutaj żyję by pracować... Tam pracuję by żyć... Czy ktoś mi może powiedzieć, gdzie jest to tam?";;"Revolwer AP";"2020-09-24 08:13:46";0;"TE CHOLERNE ŻYCIE";;
296;"Bóg nie cierpi tchórzy... Kiedy wstajesz rano i patrzysz w lustro, jak myślisz? Co sądzi tobie Bóg?";;"Revolwer AP";"2020-09-24 08:14:31";0;"TE CHOLERNE ŻYCIE";;
297;"Nie odkładaj siebie na później.";;GG;"2020-09-24 08:14:57";0;"FILOZOFIA ŻYCIA";;
298;"Marzenia są tam gdzie horyzont... Czy jesteś tak wytrwały by był w zasięgu ręki? Czy tylko wzroku tęsknego?";;"Revolwer AP";"2020-09-24 08:15:56";0;"TE CHOLERNE ŻYCIE";;
299;"Absens carens";"Nieobecny traci";;"2020-09-24 08:22:43";0;"PSYCHOLOGIA ŻYCIA";;
300;"Absentem laedit, qui cum ebrio litigat";"Jakby z nieobecnym się spierał, kto z pijanym się kłóci.";"Publiusz Syrus";"2020-09-24 08:23:11";0;"FILOZOFIA ŻYCIA";;
301;"Abusus non tollit usum";"Nadużycie nie znosi prawa do właściwego użycia";;"2020-09-24 08:23:26";0;"FILOZOFIA ŻYCIA";;
302;"Accipis, ut taceas";"Płacą ci za to, abyś milczał";Marcjalis;"2020-09-24 08:23:49";0;"FILOZOFIA ŻYCIA";;
303;"Accusare nemo se debet";"Nikt nie musi oskarżać siebie samego";;"2020-09-24 08:24:25";0;"FILOZOFIA ŻYCIA";;
304;"Ad augusta per angusta";"Do wielkich osiągnięć przez trudności";;"2020-09-24 08:24:45";0;"FILOZOFIA ŻYCIA";;
305;"Ad quas res aptissimi erimus, in iis potissimum elaborabimus";"Najwięcej dokonamy w tym, do czego będziemy najbardziej uzdolnieni";Cyceron;"2020-09-24 08:25:00";0;"FILOZOFIA ŻYCIA";;
306;"Adulescentia est tempus discendi, sed nulla aetas sera est ad discendum";"Młodość jest czasem uczenia się, lecz żaden wiek nie jest na to za późny";"sentencja łacińska";"2020-09-24 08:25:24";0;"FILOZOFIA ŻYCIA";;
307;"Adversus stímulum calcitrare";"Głową muru nie przebijesz.";"sentencja łacińska";"2020-09-24 08:25:56";0;"FILOZOFIA ŻYCIA";;
308;"Ad rem";"Do rzeczy";;"2020-09-24 08:26:08";0;"FILOZOFIA ŻYCIA";;
309;"Aegroto dum anima est, spes esse dicitur";"Dopóki chory oddycha, jest nadzieja";Cyceron;"2020-09-24 08:26:22";0;"FILOZOFIA ŻYCIA";;
310;"Aequitas sequitur legem";"Sprawiedliwość idzie za prawem";;"2020-09-24 08:26:47";0;"FILOZOFIA ŻYCIA";;
311;"Aliena vitia in oculis habemus, a tergo nostra";"Cudze winy mamy na oku, własne za plecami";"Seneka Młodszy";"2020-09-24 08:27:02";0;"FILOZOFIA ŻYCIA";;
312;"Alea iacta est";"Kości zostały rzucone";"Gajusz Juliusz Cezar";"2020-09-24 08:27:29";0;"FILOZOFIA ŻYCIA";;
313;"Alitur vitium vivitque tegendo";"Wada żywi się i wzrasta w ukryciu";Wergiliusz;"2020-09-24 08:27:49";0;"FILOZOFIA ŻYCIA";;
